,p-value
MDVP:Fo(Hz),3.1219194028363605e-08
MDVP:Fhi(Hz),0.020275669142798675
MDVP:Flo(Hz),4.1970041821534524e-08
MDVP:Jitter(%),8.209989250843875e-05
MDVP:Jitter(Abs),1.2822523240682497e-06
MDVP:RAP,0.00016433934101953084
MDVP:PPQ,4.2577665232618315e-05
Jitter:DDP,0.00016454664474031255
MDVP:Shimmer,1.2647022896752545e-07
MDVP:Shimmer(dB),5.000743178590637e-07
Shimmer:APQ3,6.386194089451473e-07
Shimmer:APQ5,4.82357514488565e-07
MDVP:APQ,1.643237765466021e-07
Shimmer:DDA,6.390538560329823e-07
NHR,0.007994850518899753
HNR,2.0746773596796917e-07
RPDE,1.1398962455333979e-05
DFA,0.0011151158798429466
spread1,7.909650873104307e-18
spread2,2.391728762371237e-11
D2,1.1359246053142962e-06
PPE,1.3926186153164435e-15
